scheme,individual,contrast_id,description,terms_json,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
5mb,ORT16,nu_rescale5_minus_raw,nu rescale5 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-1.06805002615,-1.06805001094,-1.06805879007,0.0181808665858,1.96409103161,-1.10376766708,-1.03234991307,yes
5mb,ORT16,nu_rescale10_minus_raw,nu rescale10 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:rescale10"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-1.76190600501,-1.76190599981,-1.76190900097,0.0244545205574,1.96409103161,-1.80993990547,-1.71387809646,yes
5mb,ORT16,nu_rescale12_minus_raw,nu rescale12 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-1.98462252471,-1.98462251709,-1.98462691717,0.026018041012,1.96409103161,-2.03572871818,-1.93352511616,yes
5mb,ORT16,nu_bamrefine5_minus_raw,nu bamrefine5 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.388704167205,-0.388704147019,-0.388715794431,0.0194746338428,1.96409103161,-0.426965748105,-0.350465840756,yes
5mb,ORT16,nu_bamrefine10_minus_raw,nu bamrefine10 minus nu raw DeltaALT,"[{""state"":""ORT16:nu:bamrefine10"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0}]",percentage_points,577,-0.527535996264,-0.527535999582,-0.527534084988,0.0269961874328,1.96409103161,-0.580557054612,-0.474511115363,yes
5mb,ORT16,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT,"[{""state"":""ORT16:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT16:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,577,0.679345858945,0.679345863916,0.679342995644,0.0184659230085,1.96409103161,0.643074241872,0.715611749415,yes
5mb,ORT16,rescale5_shift_nu_minus_fu,Difference in rescale5 shift: non-UDG minus full-UDG,"[{""state"":""ORT16:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale5"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,577,0.0137585625199,0.0137585470855,0.0137674527614,0.017958533594,1.96409103161,-0.0215047420114,0.0490396475342,no
5mb,ORT16,rescale12_shift_nu_minus_fu,Difference in rescale12 shift: non-UDG minus full-UDG,"[{""state"":""ORT16:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT16:nu:raw"",""coefficient"":-1.0},{""state"":""ORT16:fu:rescale12"",""coefficient"":-1.0},{""state"":""ORT16:fu:raw"",""coefficient"":1.0}]",percentage_points,577,-0.0151509659754,-0.0151509620218,-0.0151532432077,0.0243105258526,1.96409103161,-0.0629013290086,0.0325948425931,no
10mb,ORT15,raw_nu_minus_raw_fu,Uncorrected non-UDG minus uncorrected full-UDG DeltaALT,"[{""state"":""ORT15:nu:raw"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,289,0.381700786159,0.38170099444,0.381640801305,0.0529782945922,1.96823517361,0.277367058451,0.48591454416,yes
10mb,ORT15,fu_trim5_minus_raw,fu trim5 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:trim5"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,289,-0.557271293745,-0.557271066001,-0.557336883983,0.0117955852599,1.96823517361,-0.580553369784,-0.534120398181,yes
10mb,ORT15,fu_rescale5_minus_raw,fu rescale5 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,289,-1.22780905739,-1.22780887953,-1.22786027978,0.00928130626121,1.96823517361,-1.24612807322,-1.20959248634,yes
10mb,ORT15,fu_rescale12_minus_raw,fu rescale12 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,289,-2.19960435391,-2.19960427588,-2.19962682556,0.0150750436174,1.96823517361,-2.22929805665,-2.16995559447,yes
10mb,ORT15,fu_bamrefine5_minus_raw,fu bamrefine5 minus fu raw DeltaALT,"[{""state"":""ORT15:fu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:fu:raw"",""coefficient"":-1.0}]",percentage_points,289,-0.53181461849,-0.531814367369,-0.531886941398,0.00927837316508,1.96823517361,-0.550148961815,-0.51362492098,yes
10mb,ORT15,nu_trim5_minus_raw,nu trim5 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:trim5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,289,-0.439344136231,-0.439344248556,-0.439311786619,0.0381785782644,1.96823517361,-0.514456207237,-0.364167366,yes
10mb,ORT15,nu_trim10_minus_raw,nu trim10 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:trim10"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,289,-0.593655000574,-0.593655231953,-0.593588363463,0.0584234451837,1.96823517361,-0.708579443237,-0.478597283689,yes
10mb,ORT15,nu_rescale5_minus_raw,nu rescale5 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:rescale5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,289,-1.10723304631,-1.10723302147,-1.10724020301,0.0226386384063,1.96823517361,-1.15179836741,-1.06268203862,yes
10mb,ORT15,nu_rescale10_minus_raw,nu rescale10 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:rescale10"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,289,-1.86406993011,-1.86407002641,-1.86404219578,0.0304607285291,1.96823517361,-1.92399607309,-1.80408831848,yes
10mb,ORT15,nu_rescale12_minus_raw,nu rescale12 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:rescale12"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,289,-2.09629304316,-2.09629314632,-2.09626333309,0.0329425086129,1.96823517361,-2.16110193725,-2.03142472893,yes
10mb,ORT15,nu_bamrefine5_minus_raw,nu bamrefine5 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,289,-0.442201830451,-0.442201832916,-0.442201120535,0.0269943172552,1.96823517361,-0.495332285244,-0.389069955825,yes
10mb,ORT15,nu_bamrefine10_minus_raw,nu bamrefine10 minus nu raw DeltaALT,"[{""state"":""ORT15:nu:bamrefine10"",""coefficient"":1.0},{""state"":""ORT15:nu:raw"",""coefficient"":-1.0}]",percentage_points,289,-0.583764465855,-0.583764573798,-0.583733378391,0.0368333647602,1.96823517361,-0.656230102474,-0.511236654307,yes
10mb,ORT15,nu_bamrefine5_minus_rescale5,Non-UDG bamRefine-5 minus Rescale-5 DeltaALT,"[{""state"":""ORT15:nu:bamrefine5"",""coefficient"":1.0},{""state"":""ORT15:nu:rescale5"",""coefficient"":-1.0}]",percentage_points,289,0.665031215864,0.66503118855,0.665039082478,0.0252202427687,1.96823517361,0.615399713574,0.714678451382,yes
