scheme,individual,library,treatment,damage_alt_fraction_sum,damage_n_dp3,transversion_alt_fraction_sum,transversion_n_dp3,covered_sites,damage_alt_pct,transversion_alt_pct,estimate_unit,n_blocks,full_estimate_pp,mean_delete_one_pp,jackknife_bias_corrected_pp,jackknife_se_pp,t_critical_975,ci95_lo_pp,ci95_hi_pp,ci_excludes_zero
5mb,ORT15,nu,trim10,2996.01904762,87473,2195.62692308,69369,9916713,3.42507865012,3.16514137882,percentage_points,577,0.259937271295,0.259937385601,0.259871430833,0.0778360578504,1.96409103161,0.106994327673,0.412748533993,yes
5mb,ORT15,nu,rescale5,5615.45833333,192278,5018.14087302,158095,14273288,2.92048925687,3.17413003132,percentage_points,577,-0.253640774446,-0.253640616089,-0.253731987656,0.0496316991766,1.96409103161,-0.351213162893,-0.15625081242,yes
5mb,ORT15,nu,rescale10,3835.12857143,189385,4780.0047619,157469,14214445,2.02504346777,3.035521126,percentage_points,577,-1.01047765824,-1.01047752267,-1.01055574396,0.0475512280394,1.96409103161,-1.10395068449,-0.917160803426,yes
5mb,ORT15,nu,rescale12,3305.32857143,188536,4712.42142857,157298,14196082,1.75315513824,2.99585590953,percentage_points,577,-1.24270077129,-1.24270064697,-1.24277237835,0.0471212265952,1.96409103161,-1.33532275691,-1.1502219998,yes
5mb,ORT15,nu,bamrefine5,5958.85833333,165486,4221.9797619,132374,13259633,3.60082323177,3.18943279036,percentage_points,577,0.411390441419,0.411390590169,0.411304761223,0.0568990262167,1.96409103161,0.299549894123,0.523059628323,yes
5mb,ORT15,nu,bamrefine10,4506.73690476,136245,3328.08809524,109549,12124414,3.30781819866,3.03799039264,percentage_points,577,0.269827806014,0.26982792875,0.269757110031,0.061045576535,1.96409103161,0.149858040639,0.389656179422,yes
5mb,ORT16,nu,raw,14200.9430272,348220,9782.6773399,284323,17628662,4.07815261249,3.4406915163,percentage_points,577,0.637461096185,0.637461223859,0.637387556427,0.0417778418682,1.96409103161,0.555332071893,0.71944304096,yes
5mb,ORT16,nu,trim5,8355.05420819,245859,6260.41441799,197678,15045489,3.39831131185,3.16697579801,percentage_points,577,0.231335513838,0.231335673685,0.231243441982,0.047226241968,1.96409103161,0.138486803676,0.324000080288,yes
5mb,ORT16,nu,trim10,5173.02155388,158538,3988.69047619,127553,12359179,3.26295371071,3.12708480098,percentage_points,577,0.135868909732,0.135869024794,0.135802633962,0.0570915696656,1.96409103161,0.023669594001,0.247935673923,yes
5mb,ORT16,nu,rescale5,9217.89421769,339739,8871.19162562,282179,17511873,2.71322815976,3.14381708973,percentage_points,577,-0.430588929965,-0.430588787077,-0.430671233647,0.0381257920879,1.96409103161,-0.50555375996,-0.355788707334,yes
5mb,ORT16,nu,rescale10,6453.54659864,335517,8577.94162562,281437,17454352,1.92346337105,3.04790827987,percentage_points,577,-1.12444490882,-1.12444477595,-1.12452144454,0.0361298776123,1.96409103161,-1.19548381313,-1.05355907595,yes
5mb,ORT16,nu,rescale12,5607.5952381,334219,8508.12495895,281262,17436192,1.67782060209,3.02498203062,percentage_points,577,-1.34716142853,-1.34716129323,-1.34723936074,0.036297544019,1.96409103161,-1.41853104142,-1.27594768006,yes
5mb,ORT16,nu,bamrefine5,9901.93707483,292337,7463.54281609,237813,16293931,3.38716518088,3.1384082519,percentage_points,577,0.24875692898,0.248757076839,0.248671761996,0.0434821788656,1.96409103161,0.163268804451,0.334074719541,yes
5mb,ORT16,nu,bamrefine10,7645.17040816,241584,6064.08210181,198518,14951642,3.16460130148,3.05467620156,percentage_points,577,0.109925099922,0.109925224277,0.109853471439,0.0466624143,1.96409103161,0.0182042419991,0.201502700879,yes
10mb,ORT15,fu,raw,85083.5851965,2408911,56360.6564451,1841765,28845214,3.53203523071,3.060143745,percentage_points,289,0.47189148571,0.471891814712,0.471796733189,0.0186240209716,1.96823517361,0.435140280038,0.508453186339,yes
10mb,ORT15,fu,trim5,49558.664472,1693137,38550.0468004,1279707,24340058,2.92703215818,3.01241196621,percentage_points,289,-0.0853798080345,-0.0853792512888,-0.0855401507939,0.0231205513678,1.96823517361,-0.131046833229,-0.0400334683584,yes
10mb,ORT15,fu,rescale5,52806.103284,2365160,54974.5609365,1839486,28742289,2.2326651594,2.98858273107,percentage_points,289,-0.755917571676,-0.755917064818,-0.75606354659,0.0200666262129,1.96823517361,-0.795559386118,-0.716567707062,yes
10mb,ORT15,fu,rescale12,28813.7879149,2334856,54456.5485267,1838640,28655823,1.23407130525,2.96178417345,percentage_points,289,-1.7277128682,-1.72771246117,-1.72783009237,0.020788367345,1.96823517361,-1.76874648818,-1.68691369656,yes
10mb,ORT15,fu,bamrefine5,59979.6325628,2039780,46135.7521464,1537644,26617815,2.94049517903,3.00041831181,percentage_points,289,-0.0599231327803,-0.0599225526573,-0.0600902082089,0.0217282063506,1.96823517361,-0.102856428208,-0.0173239882101,yes
10mb,ORT16,fu,raw,189307.200214,5624091,131965.73868,4357027,45566134,3.36600528359,3.02880240769,percentage_points,289,0.337202875898,0.337203304884,0.337079327848,0.0147016070591,1.96823517361,0.308143107725,0.36601554797,yes
10mb,ORT16,fu,trim5,117321.572521,4128255,94069.4672176,3160607,40115936,2.84191680312,2.9763101587,percentage_points,289,-0.134393355579,-0.134392769903,-0.134562030273,0.0165626583349,1.96823517361,-0.167161236976,-0.101962823569,yes
10mb,ORT16,fu,rescale5,123154.680693,5539966,129179.038008,4352939,45451585,2.22302231987,2.96762803265,percentage_points,289,-0.744605712773,-0.74460518694,-0.744757152574,0.015661821236,1.96823517361,-0.775583300014,-0.713931005135,yes
10mb,ORT16,fu,rescale12,72182.9639028,5479447,128358.075396,4351698,45348234,1.31734030647,2.94960898931,percentage_points,289,-1.63226868284,-1.6322682401,-1.63239619131,0.0178635705711,1.96823517361,-1.66755589923,-1.59723648339,yes
10mb,ORT16,fu,bamrefine5,138665.397724,4843994,110507.100885,3712452,42880311,2.86262529897,2.97666073217,percentage_points,289,-0.114035433206,-0.114034817486,-0.114212760456,0.0165763391964,1.96823517361,-0.146838894312,-0.0815866266001,yes
10mb,ORT15,nu,raw,8548.7202381,197441,5539.55039683,159358,14380094,4.32975939045,3.47616711858,percentage_points,289,0.853592271869,0.853592809152,0.853437534494,0.053554317227,1.96823517361,0.748030043629,0.958845025359,yes
10mb,ORT15,nu,trim5,5052.44880952,137554,3565.14642857,109400,12183234,3.67306571203,3.25881757639,percentage_points,289,0.414248135638,0.414248560595,0.414125747875,0.0616856033875,1.96823517361,0.292713973582,0.535537522168,yes
10mb,ORT15,nu,trim10,2996.01904762,87473,2195.62692308,69369,9916713,3.42507865012,3.16514137882,percentage_points,289,0.259937271295,0.259937577198,0.259849171031,0.07450194275,1.96823517361,0.113211826808,0.406486515254,yes
10mb,ORT15,nu,rescale5,5615.45833333,192278,5018.14087302,158095,14273288,2.92048925687,3.17413003132,percentage_points,289,-0.253640774446,-0.253640212314,-0.253802668519,0.0495147530038,1.96823517361,-0.351259346994,-0.156345990044,yes
10mb,ORT15,nu,rescale10,3835.12857143,189385,4780.0047619,157469,14214445,2.02504346777,3.035521126,percentage_points,289,-1.01047765824,-1.01047721725,-1.01060466129,0.0459559290301,1.96823517361,-1.10105673724,-0.920152585333,yes
10mb,ORT15,nu,rescale12,3305.32857143,188536,4712.42142857,157298,14196082,1.75315513824,2.99585590953,percentage_points,289,-1.24270077129,-1.24270033717,-1.2428257986,0.0449485745232,1.96823517361,-1.33129516398,-1.15435643322,yes
10mb,ORT15,nu,bamrefine5,5958.85833333,165486,4221.9797619,132374,13259633,3.60082323177,3.18943279036,percentage_points,289,0.411390441419,0.411390976236,0.411236413959,0.0561391075091,1.96823517361,0.300741447944,0.521731379974,yes
10mb,ORT15,nu,bamrefine10,4506.73690476,136245,3328.08809524,109549,12124414,3.30781819866,3.03799039264,percentage_points,289,0.269827806014,0.269828235354,0.269704156103,0.0598208890655,1.96823517361,0.151962578128,0.387445734079,yes
10mb,ORT16,nu,raw,14200.9430272,348220,9782.6773399,284323,17628662,4.07815261249,3.4406915163,percentage_points,289,0.637461096185,0.63746151793,0.637339633625,0.0419983462889,1.96823517361,0.554677011226,0.720002256025,yes
10mb,ORT16,nu,trim5,8355.05420819,245859,6260.41441799,197678,15045489,3.39831131185,3.16697579801,percentage_points,289,0.231335513838,0.23133583677,0.231242509502,0.0465685776414,1.96823517361,0.139584597003,0.322900422001,yes
10mb,ORT16,nu,trim10,5173.02155388,158538,3988.69047619,127553,12359179,3.26295371071,3.12708480098,percentage_points,289,0.135868909732,0.135869076945,0.135820752382,0.0550325102274,1.96823517361,0.0275038300601,0.244137674704,yes
10mb,ORT16,nu,rescale5,9217.89421769,339739,8871.19162562,282179,17511873,2.71322815976,3.14381708973,percentage_points,289,-0.430588929965,-0.430588545666,-0.430699608223,0.037979943352,1.96823517361,-0.505453068621,-0.355946147826,yes
10mb,ORT16,nu,rescale10,6453.54659864,335517,8577.94162562,281437,17454352,1.92346337105,3.04790827987,percentage_points,289,-1.12444490882,-1.12444454471,-1.12454977213,0.0358986684431,1.96823517361,-1.19520679405,-1.05389275022,yes
10mb,ORT16,nu,rescale12,5607.5952381,334219,8508.12495895,281262,17436192,1.67782060209,3.02498203062,percentage_points,289,-1.34716142853,-1.34716105643,-1.34726859115,0.0358477793291,1.96823517361,-1.41782545132,-1.27671173098,yes
10mb,ORT16,nu,bamrefine5,9901.93707483,292337,7463.54281609,237813,16293931,3.38716518088,3.1384082519,percentage_points,289,0.24875692898,0.248757307624,0.248647879537,0.0441954888072,1.96823517361,0.161660763951,0.335634995122,yes
10mb,ORT16,nu,bamrefine10,7645.17040816,241584,6064.08210181,198518,14951642,3.16460130148,3.05467620156,percentage_points,289,0.109925099922,0.109925464146,0.109820203188,0.0464950284956,1.96823517361,0.0183070527047,0.201333353671,yes
