PairIndividuals	Rel	Zup	Zdown	P0_mean	Nonnormalized_P0	Nonnormalized_P0_serr	1st_Type	Perc_Win_1stdeg_P0	OverlapNSNPs	NSNPsXNorm	KinshipCoefficient	KinshipCoefficient_95percCI[min,max]
ORT14,ORT21	Unrelated	NA	11.149624955386974	0.9957145095045045	0.24566266426438535	0.001979679327273929	N/A	0.8343558282208589	79369	19581.91812400399	0.004285490495495536	0.9799874837677233,1.0114415352412855
ORT14,ORT23	Unrelated	NA	15.003518218487436	1.003490216164333	0.2475810864590588	0.0015990318988081437	N/A	0.8719512195121951	160816	39676.520367269666	-0.003490216164333093	0.9907871407318491,1.016193291596817
ORT14,ORT24	Unrelated	NA	15.79254246790049	1.0035859903646271	0.24760471586787774	0.001520637584691711	N/A	0.8641975308641975	184738	45578.55573828887	-0.003585990364627145	0.9915056973084305,1.0156662834208239
ORT14,ORT26	Unrelated	NA	19.06174400156805	1.0150022860669488	0.2504213441197428	0.001407602677078623	N/A	0.8650306748466258	234369	57823.5150852939	-0.015002286066948756	1.003819968191224,1.0261846039426734
ORT14,ORT27	Unrelated	NA	13.882896659613099	0.9898584022990519	0.2442178456094626	0.0014858472177584614	N/A	0.8414634146341463	210259	51875.096357960356	0.010141597700948135	0.9780544918815044,1.0016623127165993
ORT14,ORT3	Unrelated	NA	14.804084079145253	0.9925757628477695	0.24488827275076952	0.0014386766789189272	N/A	0.8536585365853658	212795	52500.778228243136	0.007424237152230506	0.9811465859883932,1.0040049397071458
ORT14,ORT4	Unrelated	NA	12.06209761731868	0.9846798745127463	0.24294019933554817	0.0016042165895272648	N/A	0.8658536585365854	146888	36240.20448032227	0.0153201254872537	0.9719356107103817,0.9974241383151109
ORT14,ORT5	Unrelated	NA	18.206399231406166	1.0318330296591032	0.2545738248488395	0.001701810567904272	N/A	0.9263803680981595	128175	31623.3334871828	-0.031833029659103174	1.0183134569526426,1.0453526023655637
ORT14,ORT6	Unrelated	NA	16.24443633520357	0.9979178292261822	0.24620626726292252	0.0013922480634530957	N/A	0.8414634146341463	243296	60025.984350283805	0.002082170773817782	0.9868574919158655,1.008978166536499
ORT14,ORT7	Unrelated	NA	15.502502372948898	1.0013673400229062	0.24705733049906406	0.0015137780792515896	N/A	0.8588957055214724	189114	46658.202372499225	-0.0013673400229061716	0.9893415404481093,1.013393139597703
ORT14,ORT8	Unrelated	NA	11.509591279791307	0.9716042129041653	0.23971417235982195	0.0014009350753214633	N/A	0.8353658536585366	229369	56589.91518331681	0.02839578709583468	0.9604748639830551,0.9827335618252755
ORT14,ORT9	Unrelated	NA	13.600222033817083	0.987506673111091	0.24363762703031355	0.0014740674635396874	N/A	0.8719512195121951	195721	48288.28128297175	0.012493326888909029	0.9757963437575166,0.9992170024646654
ORT15,ORT16	First Degree	7.807040348710183	25.86980534115286	0.7690333381022743	0.18973589010001654	0.0013736439793132285	Parent-offspring	0.13414634146341464	169172	41738.11252345378	0.23096666189772574	0.7581207958949553,0.7799458803095932
ORT15,ORT18	Unrelated	NA	12.445542719001262	0.9956523729788167	0.24564733394198582	0.0017723093485478506	N/A	0.8597560975609756	124866	30806.93707205436	0.004347627021183298	0.981572741821314,1.0097320041363194
ORT15,ORT2	Unrelated	NA	12.344334253497404	1.0053547640430323	0.24804110767513776	0.001980756915656429	N/A	0.8841463414634146	86018	21222.359273653132	-0.005354764043032256	0.9896191776974738,1.0210903503885906
ORT15,ORT21	Unrelated	NA	14.029436174148282	1.0155059513522184	0.25054560840905044	0.0019213620448534253	N/A	0.8333333333333334	89808	22157.427999351767	-0.015505951352218439	1.0002422114561746,1.0307696912482622
ORT15,ORT23	Unrelated	NA	16.095805822998198	1.0065566065189993	0.24833762622724675	0.0015375212813848848	N/A	0.8902439024390244	185578	45785.800521821024	-0.006556606518999253	0.9943421855114888,1.0187710275265098
ORT15,ORT24	Unrelated	NA	18.048945892511053	1.0149320417138565	0.250404013434325	0.0014856286544746395	N/A	0.9085365853658537	213483	52670.521574755185	-0.014932041713856536	1.0031298676130662,1.0267342158146469
ORT15,ORT26	Unrelated	NA	21.28329909194368	1.0261468073622095	0.2531709201952259	0.0013898661966872817	N/A	0.8719512195121951	266563	65766.41813414401	-0.026146807362209534	1.0151053921467046,1.0371882225777145
